City,City Remapped,Combined,Year,Full Date,ES,TH,SH,Total - Sheltered,Total - Unsheltered,Total PEH,Unsheltered - Chronically Homeless,Unsheltered - Veteran,Unsheltered - Female,Unsheltered - Families,Unsheltered - Youth,Sheltered - Chronically Homeless,Sheltered - Veteran,Sheltered - Female,Sheltered - Families,Sheltered - Youth,Unsheltered - Male,Unsheltered - Female,Unsheltered - Transgender,Unsheltered - Questioning,"Unsheltered - American Indian, Alaska Native, or Indigenous",Unshelthered - Asian or Asian American,"Unsheltered - Black, African American, or African",Unsheltered - Native Hawaiian or Pacific Islander ,Unsheltered - White,Unsheltered - Mulitple Races,"Sheltered - American Indian, Alaska Native, or Indigenous",Sheltered - Asian or Asian American,"Sheltered - Black, African American, or African",Sheltered - Native Hawaiian or Pacific Islander ,Sheltered - White,Sheltered - Multiple Races
City of El Cajon,City of El Cajon,City of El Cajon|2020,2020,,162,312,0,474,310,784,51,9,100,1,25,29,37,215,206,48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of El Cajon,City of El Cajon,City of El Cajon|2019,2019,,#N/A,#N/A,#N/A,489,298,787,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of El Cajon,City of El Cajon,City of El Cajon|2018,2018,,118,273,0,391,189,580,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of El Cajon,City of El Cajon,City of El Cajon|2017,2017,,19,0,46,65,388,453,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of El Cajon,City of El Cajon,City of El Cajon|2016,2016,,20,83,0,103,218,321,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of El Cajon,City of El Cajon,City of El Cajon|2015,2015,,202,318,0,520,191,711,25,21,71,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,71,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Encinitas,City of Encinitas,City of Encinitas|2022,2022,,25,12,0,37,76,113,#N/A,5,30,0,0,#N/A,0,suppressed,30,0,72,28,#N/A,#N/A,58,23,10,9,0,0,0,0,22,0,78,0
City of Encinitas,City of Encinitas,City of Encinitas|2021,2021,,46,2,0,48,#N/A,48,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Encinitas,City of Encinitas,City of Encinitas|2020,2020,,25,8,0,33,47,80,8,3,11,0,2,19,0,18,9,17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
City of Encinitas,City of Encinitas,City of Encinitas|2019,2019,,#N/A,#N/A,#N/A,41,79,120,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
